Item Name,Type,Category,Item Code,Sales Price,Quantity
Pari Jama One Pieces,Product,Clothes/Set Dress,12031035,"Rs. 2,600",8
Cute photoshoot dress with glass,Product,Clothes/Set Dress,1034,"Rs. 1,650",51 PCS
Hello Panda (set dress),Product,Clothes/Set Dress,1033,"Rs. 1,000",30 PCS
Party Dress,Product,General,--,"Rs. 1,900",4
Haodou Tshirt,Product,Clothes,2001032,Rs. 950,22 PCS
nancy underwear,Product,General,--,Rs. 250,39 PCS
cami (Dont know ),Product,General,--,Rs. 300,98
Broach,Product,General,--,Rs. 780,100
Hair Band (Bow),Product,General,1031,Rs. 450,31
Hair Band (Rabbit),Product,Care And Beauty/Sewa Organics,--,Rs. 0,42
AAA Baby Shoes,Product,General,593,Rs. 550,10
Shoes,Product,General,706,Rs. 500,11 PCS
Ice Set Dress (Beetla Knight) Size 65,Product,Clothes/Set Dress,5031030,Rs. 920,12 PCS
Ice Set Dress (Beetla Knight) Size 60,Product,Clothes/Set Dress,5031029,Rs. 920,5 PCS
Ice Set Dress (Beetla Knight) Size 55,Product,Clothes/Set Dress,5031028,Rs. 920,12
Suspender Full Set,Product,Clothes,10031027,"Rs. 1,950",17 PCS
Jeans Frock,Product,Clothes,9031026,"Rs. 1,650",31 PCS
Cami Top,Product,Clothes/Set Dress,9021025,Rs. 850,17 PCS
Bag Tshirt,Product,Clothes,9021024,"Rs. 1,350",30 PCS
Hair Comb,Product,Care And Beauty/Hygiene,1023,Rs. 175,50
Hair Brush,Product,Care And Beauty/Hygiene,1022,Rs. 350,50
Metal Bottle printed,Product,General,1021,"Rs. 1,150",51
Muslin rufle Set,Product,Clothes/Set Dress,1020,Rs. 950,2
ETEN Boy Tshirt,Product,Clothes,1031118,Rs. 550,"1,061"
Tinywings Girl tshirt,Product,Clothes,10119,Rs. 650,446
Makeup small suitcase,Product,Toys And Dolls,1015,"Rs. 3,200",5
Set of Two Cami,Product,General,1011,Rs. 700,14 PRS
Makeup Bag,Product,General,1010,"Rs. 2,000",19
Colour Suitcase Box,Product,General,1009,"Rs. 2,800",15
Premium Makeup Bag,Product,Toys And Dolls,1017,"Rs. 3,000",7
Biker Short (boleedaga),Product,Clothes,3000115,Rs. 950,136
Blanket (HULEDO),Product,General,1014,"Rs. 2,000",19
Muslin (nightsuit) 160,Product,Clothes/Set Dress,2103013,"Rs. 1,350",8
Muslin (nightsuit) 150,Product,General,2103012,"Rs. 1,350",15
Muslin (nightsuit) 140,Product,Clothes/Set Dress,2103011,"Rs. 1,350",11
Muslin (nightsuit) 130,Product,Clothes/Set Dress,2103010,"Rs. 1,350",14
Muslin (nightsuit) 120,Product,Clothes/Set Dress,2102012,"Rs. 1,350",25
Muslin (nightsuit) 110,Product,Clothes/Set Dress,2102011,"Rs. 1,350",17
Muslin (nightsuit) 100,Product,Clothes/Set Dress,2102010,"Rs. 1,350",18
Muslin (nightsuit) 90,Product,Clothes/Set Dress,2102009,"Rs. 1,350",15
Forever Half Set,Product,Clothes/Set Dress,1008,"Rs. 1,600",20
Frock (LANXIBEIBEI),Product,Clothes/Set Dress,2002007,Rs. 800,99
MICKEY WITH GLASSES,Product,General,2101006,"Rs. 1,350",99
Sunday Frock,Product,Clothes,1006,"Rs. 2,000",8
Party Frock (MI GU MI ER),Product,Clothes,1005,"Rs. 3,750",5
The9rind( set ),Product,Clothes/Set Dress,1004,"Rs. 2,000",7
Half Pant ( colourful),Product,Clothes,1003,Rs. 650,46
NY Croces(24-29),Product,General,1001,Rs. 850,15
NY Croces(19-23),Product,General,1000,Rs. 850,20
Kuromi Croces,Product,General,999,Rs. 850,18
Hello kitty Croces,Product,General,998,Rs. 850,13
Spider Croces,Product,General,997,Rs. 850,13
Sport Jacket,Product,Clothes,996,"Rs. 1,200",5
"Bus,Car Jacket",Product,General,995,"Rs. 1,500",2 PCS
Cartoon Jacket,Product,Clothes,994,"Rs. 1,000",9
RS&L Small Size,Product,Clothes,2003993,"Rs. 1,600",29 PCS
RS&L Pant,Product,Clothes,2003992,"Rs. 1,800",30 PCS
Kitty Bow Jeans Pant,Product,Clothes,2003991,"Rs. 1,500",12 PCS
Mickey without glass,Product,Clothes,2104007,"Rs. 1,350",12
Bear Bow tshirt,Product,Clothes,989,"Rs. 1,000",37
Game set (Football) (Size L),Product,Clothes/Set Dress,100987,"Rs. 1,100",46
Game set (Football) (Size M),Product,General,100986,"Rs. 1,100",25
Flower Full Shirt (Size 140),Product,General,900985,"Rs. 1,000",5
Flower Full Shirt (Size 130),Product,General,900984,"Rs. 1,000",9
Flower Full Shirt (Size 120),Product,General,900983,"Rs. 1,000",9
Flower Full Shirt (Size 110),Product,General,900982,"Rs. 1,000",8
Flower Full Shirt (Size 100),Product,General,900781,"Rs. 1,000",10 PCS
Printed Sweat Shirt (Size 150),Product,General,1000980,"Rs. 1,000",30 PCS
Printed Sweat Shirt (Size 140),Product,General,1000979,"Rs. 1,000",31 PCS
Printed Sweat Shirt (Size 130),Product,General,1000977,"Rs. 1,000",31 PCS
Printed Sweat Shirt (Size 120),Product,General,1000978,"Rs. 1,000",29
FLower OnePiece Frock ( 130 size),Product,General,1200976,"Rs. 1,800",17
FLower OnePiece Frock ( 150 size),Product,Clothes/Set Dress,1200974,"Rs. 1,800",7 PCS
FLower OnePiece Frock ( 140 size),Product,General,1200973,"Rs. 1,800",3 PCS
FLower OnePiece Frock ( 120 size),Product,General,1200972,"Rs. 1,800",1 PCS
FLower OnePiece Frock ( 110 size),Product,Clothes/Set Dress,1200971,"Rs. 1,800",8 PCS
FLower OnePiece Frock ( 100 size),Product,General,1200970,"Rs. 1,800",13 PCS
Short Set,Product,Clothes/Set Dress,600969,Rs. 850,78 PCS
KIDS lEGGING,Product,General,--,Rs. 450,197 PCS
Boys Pant Set,Product,Clothes/Set Dress,800967,"Rs. 1,200",27
Jumpsuits,Product,Clothes/Romper,1100966,Rs. 700,26 PCS
Tiny Crew Set Dress,Product,Clothes/Set Dress,965,"Rs. 1,100",62
Disney Lilo Stitch Set Dress,Product,General,964,"Rs. 1,000",3 PCS
Sweet Potato,Product,Food,1700962,Rs. 590,4 PCS
ice printed set,Product,Clothes,503961,Rs. 920,24
Mix Cotton Set,Product,Clothes,960,Rs. 900,147
Ice Printed Sando,Product,Clothes,959,Rs. 350,52 PCS
